center_x,center_y
198.482,170.696
198.456,169.636
198.43,168.595
198.405,167.576
198.391,166.532
198.374,165.489
198.356,164.481
198.4,163.456
198.412,162.455
198.46,161.443
198.491,160.439
198.523,159.431
198.558,158.375
198.664,157.338
198.732,156.273
198.843,155.231
198.947,154.229
199.058,153.232
199.232,152.225
199.404,151.238
199.651,150.264
199.938,149.296
200.217,148.332
200.528,147.376
200.869,146.404
201.226,145.442
201.566,144.477
201.937,143.488
202.319,142.551
202.686,141.609
203.159,140.712
203.594,139.799
204.081,138.893
204.569,137.998
205.05,137.096
205.594,136.24
206.148,135.408
206.705,134.558
207.296,133.735
207.925,132.948
208.534,132.133
209.148,131.312
209.833,130.509
210.533,129.781
211.238,129.016
211.933,128.248
212.625,127.482
213.379,126.806
214.151,126.041
214.961,125.374
215.813,124.817
216.698,124.342
217.627,123.913
218.518,123.429
219.457,123.013
220.373,122.572
221.308,122.12
222.24,121.754
223.191,121.354
224.137,120.995
225.09,120.681
226.097,120.406
227.112,120.176
228.123,120.014
229.165,119.842
230.222,119.679
231.253,119.573
232.302,119.518
233.305,119.498
234.333,119.405
235.356,119.316
236.385,119.239
237.395,119.177
238.4,119.15
239.416,119.103
240.444,119.054
241.464,119.007
242.486,118.96
243.524,118.92
244.542,118.907
245.583,118.879
246.618,118.852
247.64,118.837
248.651,118.823
249.659,118.807
250.691,118.821
251.724,118.822
252.77,118.823
253.772,118.825
254.798,118.827
255.804,118.829
256.839,118.83
257.845,118.832
258.898,118.823
259.937,118.817
260.966,118.812
261.979,118.806
262.987,118.801
263.994,118.795
265.071,118.789
266.232,118.771
267.27,118.756
268.31,118.741
269.376,118.726
270.427,118.711
271.486,118.697
272.544,118.682
273.584,118.65
274.625,118.624
275.636,118.57
276.675,118.526
277.694,118.482
278.698,118.437
279.707,118.393
280.73,118.347
281.738,118.303
282.757,118.257
283.759,118.239
284.764,118.21
285.79,118.221
286.829,118.21
287.845,118.199
288.869,118.189
289.948,118.178
290.972,118.167
292.054,118.156
