ts,state,center_offset,ndt_response_time(ms),instance,gnss_pose_x,gnss_pose_y,ndt_score,current_pose_x,current_pose_y
34881.7389884,None,1.0150000000000148,47.388999938964844,211,314.065,129.676,0.4301236569881439,314.058,129.647
34882.143372795,None,1.0150000000000148,53.691001892089844,214,314.065,129.676,0.43104487657546997,314.063,129.661
34882.528968689,None,0.8810000000000002,78.58899688720703,217,314.065,129.81,0.43436503410339355,314.06,129.734
34882.901992283,None,0.5320000000000107,78.37699890136719,220,314.065,130.159,0.4302741289138794,314.06,130.136
34883.307018494,None,0.29700168349690914,44.12900161743164,223,314.066,130.988,0.4272893965244293,314.05,130.847
34883.679860259,None,0.29800671133382367,43.50199890136719,226,314.066,132.006,0.42558524012565613,314.055,131.8
34884.022790192,None,0.4590174288630037,46.03300094604492,229,314.068,133.286,0.4210141599178314,314.053,133.032
34884.386166984,None,0.019646882704407086,41.12300109863281,232,314.071,134.82,0.42413848638534546,314.051,134.517
34884.77133048,None,0.4120436870041882,66.72100067138672,235,314.074,136.274,0.41961869597435,314.053,136.226
34885.145135926,None,0.27708843353700774,66.02799987792969,238,314.082,138.625,0.4187193214893341,314.061,138.232
34885.519458413,None,0.07414849964765181,40.80699920654297,241,314.093,140.866,0.4223608374595642,314.065,140.49
34885.903638826,None,0.17141761869774363,45.665000915527344,244,314.106,142.813,0.41667768359184265,314.086,142.83
34886.286532585,None,0.11557248807567133,40.5890007019043,247,314.125,145.174,0.422756165266037,314.103,145.186
34886.662687112,None,0.1694254998517159,49.81800079345703,250,314.152,147.94,0.41814255714416504,314.128,147.541
34887.010004595,None,0.15472879499304087,42.01900100708008,253,314.176,150.29,0.42246323823928833,314.152,149.92
34887.403244187,None,0.3464173783169695,42.97600173950195,256,314.2,152.517,0.4214087426662445,314.186,152.189
34887.745989032,None,0.3075272345663211,41.39500045776367,259,314.222,154.531,0.41700634360313416,314.209,154.229
34888.119066566,None,0.24529370150903232,53.415000915527344,262,314.238,156.057,0.4138166904449463,314.232,156.09
34888.50403686,None,0.41312104763614427,47.229000091552734,265,314.258,157.966,0.41263049840927124,314.252,157.728
34888.869308535,None,0.10679419459879018,50.59199905395508,268,314.272,159.349,0.41440829634666443,314.266,159.141
34889.225850079,None,0.032649655434619514,47.875,271,314.286,160.539,0.4111730456352234,314.291,160.382
34889.589085624,None,0.06718630812898756,47.09299850463867,274,314.299,161.586,0.4231869578361511,314.299,161.433
34889.973980569,None,0.08318653737236512,52.37799835205078,277,314.31,162.492,0.4278617203235626,314.333,162.352
34890.328459136,None,0.3071970051937244,53.551998138427734,280,314.322,163.327,0.4451620280742645,314.343,163.145
34890.693145602,None,0.479551874149204,51.22800064086914,283,314.334,164.113,0.44327378273010254,314.36,163.942
34891.056736387,None,0.23485314560380796,52.59600067138672,286,314.346,164.9,0.43438786268234253,314.38,164.722
34891.431365824,None,0.042544094772351986,50.81100082397461,289,314.361,165.768,0.42634719610214233,314.398,165.594
34891.78290609,None,0.024413111231481526,55.04399871826172,292,314.377,166.773,0.4370644688606262,314.419,166.592
34892.177119949,None,0.10705606008068125,52.39899826049805,295,314.397,167.964,0.43854814767837524,314.439,167.742
34892.533330754,None,0.36535051662750734,54.05799865722656,298,314.418,169.343,0.43840718269348145,314.453,169.098
34892.899158196,None,0.28202836736755077,52.417999267578125,301,314.442,170.844,0.4425938129425049,314.48,170.595
34893.273357433,None,0.278352294763301,51.612998962402344,304,314.469,172.433,0.4497377574443817,314.504,172.16
34893.606509611,None,0.03492849839313372,53.904998779296875,307,314.498,174.259,0.4507509469985962,314.537,173.936
34893.950185829,None,0.006082762530271194,66.90899658203125,310,314.53,176.32,0.4536454975605011,314.574,175.996
34894.323145785,None,0.16800000000000637,50.63600158691406,313,314.558,178.43,0.44755789637565613,314.579,178.149
34894.65522299,None,-0.20102238681303308,53.202999114990234,316,314.581,180.42,0.4229073226451874,314.593,180.108
34895.029298189,None,-0.44309141269041286,48.56700134277344,319,314.602,182.347,0.42837849259376526,314.617,182.038
34895.383296464,None,-0.5151902561190531,51.571998596191406,322,314.623,184.355,0.4368065595626831,314.649,184.016
34895.779462799,None,-0.5230152961434549,56.630001068115234,325,314.645,186.419,0.4370713531970978,314.665,186.089
34896.16408323,None,-0.015231546211737102,84.1449966430664,328,314.663,188.118,0.43955978751182556,314.69,187.934
34896.49783245,None,-0.4350930934869022,56.507999420166016,331,314.668,188.559,0.43328040838241577,314.689,188.536
34896.842900406,None,-0.25563450471326576,50.06800079345703,334,314.672,188.948,0.43699389696121216,314.702,188.866
34897.197012964,None,-0.41012193308819395,64.87999725341797,337,314.68,189.613,0.4342046082019806,314.706,189.473
34897.549901432,None,-0.30020159892979603,65.78700256347656,340,314.692,190.571,0.43861666321754456,314.717,190.381
34897.904448718,None,-0.417145058702606,64.41899871826172,343,314.706,191.801,0.445139080286026,314.72,191.568
34898.257913637,None,-0.21484180226389749,64.65599822998047,346,314.724,193.26,0.4436264634132385,314.739,192.998
34898.632236319,None,-0.40717686574753265,66.5260009765625,349,314.744,194.908,0.45101407170295715,314.757,194.617
34898.965995008,None,-0.2434029580756936,64.9000015258789,352,314.767,196.82,0.4542308747768402,314.776,196.479
34899.331756558,None,-0.3182263345482389,55.87099838256836,355,314.794,198.943,0.4562528729438782,314.793,198.578
34899.665440808,None,-0.3791319031682678,48.066001892089844,358,314.822,201.094,0.4509677290916443,314.836,200.744
34900.018551747,None,-0.40310048375063195,55.39799880981445,361,314.849,203.2,0.44726061820983887,314.858,202.87
34900.362105531,None,-0.42707493487676634,53.4119987487793,364,314.876,205.304,0.44343361258506775,314.9,204.985
34900.734961969,None,-0.4903305007849399,59.15700149536133,367,314.902,207.432,0.442680299282074,314.915,207.109
34901.088458506,None,-0.43333358974350644,55.18899917602539,370,314.926,209.519,0.45152756571769714,314.93,209.211
34901.433807562,None,-0.4510399095424033,55.7239990234375,373,314.949,211.425,0.4505949318408966,314.951,211.155
34901.787163227,None,-0.07951100552754621,56.95100021362305,376,314.969,213.09,0.45145487785339355,314.972,212.854
34902.141984986,None,-0.4802343178074814,60.939998626708984,379,314.987,214.629,0.4502781331539154,314.996,214.389
34902.485962274,None,-0.11834272263218842,79.86599731445312,382,315.005,216.085,0.44786328077316284,315.019,215.869
34902.830474793,None,-0.09126883367284563,56.22600173950195,385,315.019,217.303,0.4442700147628784,315.026,217.128
34903.184175915,None,-0.0952575456328781,52.77399826049805,388,315.031,218.321,0.44505414366722107,315.035,218.165
34903.547797466,None,-0.013892443989452719,56.74100112915039,391,315.043,219.309,0.4487171471118927,315.043,219.144
34903.893315441,None,-0.007000000000005002,51.40700149536133,394,315.055,220.33,0.4443441331386566,315.07,220.159
34904.24725307,None,-0.024351591323780737,53.551998138427734,397,315.066,221.359,0.44347164034843445,315.076,221.184
34904.580644606,None,-0.10339245620451253,54.83700180053711,400,315.077,222.351,0.4452895224094391,315.097,222.155
34904.924129523,None,-0.27222233560090187,57.617000579833984,403,315.088,223.343,0.44360607862472534,315.107,223.139
34905.298674882,None,-0.21627991122617657,55.92499923706055,406,315.1,224.456,0.4463407099246979,315.122,224.227
34905.622801411,None,-0.09861541461656131,68.89600372314453,409,315.112,225.803,0.44728338718414307,315.133,225.519
34905.990760206,None,-0.5214230528083854,56.736000061035156,412,315.127,227.351,0.4499901831150055,315.152,227.055
34906.344684835,None,-0.08222530024270029,59.2869987487793,415,315.141,228.965,0.4500226378440857,315.168,228.635
34906.687966358,None,-0.3980577847499265,49.632999420166016,418,315.155,230.623,0.45033979415893555,315.18,230.285
34907.032188274,None,-0.36954160794151636,52.24300003051758,421,315.169,232.412,0.4572089612483978,315.187,232.034
34907.395020107,None,-0.20806249061278587,55.290000915527344,424,315.184,234.35,0.453593373298645,315.193,233.959
34907.749222998,None,-0.08902246907384292,56.0880012512207,427,315.2,236.276,0.44167542457580566,315.218,235.91
34908.104206227,None,-0.3211370423977821,55.810001373291016,430,315.216,238.017,0.4510400891304016,315.229,237.685
34908.438262331,None,-0.27596014204951047,51.165000915527344,433,315.23,239.658,0.4475814700126648,315.248,239.336
34908.792602063,None,-0.1978509540032637,55.79800033569336,436,315.246,241.353,0.44412657618522644,315.267,241.002
34909.156522094,None,-0.5118798687192117,59.57500076293945,439,315.263,243.161,0.439268559217453,315.276,242.787
34909.51958139,None,-0.19547889911703148,50.867000579833984,442,315.279,244.919,0.4385138750076294,315.288,244.586
34909.852609031,None,-0.3900794790808476,51.88800048828125,445,315.293,246.443,0.434540331363678,315.294,246.14
34910.206705442,None,-0.05679788728465619,66.53399658203125,448,315.307,247.9,0.4366209805011749,315.308,247.593
34910.550076547,None,-0.5542923416393224,76.51699829101562,451,315.323,249.415,0.4315835237503052,315.319,249.094
34910.902957138,None,-0.059808026217238845,50.85100173950195,454,315.339,250.974,0.4357665479183197,315.332,250.661
34911.248830036,None,-0.47320714280321874,69.66000366210938,457,315.355,252.517,0.43320003151893616,315.342,252.22
34911.602748355,None,-0.08256512580988178,81.19599914550781,460,315.372,254.005,0.43200838565826416,315.357,253.721
34911.949538008,None,-0.32909725006448426,62.30400085449219,463,315.388,255.423,0.4347074627876282,315.375,255.153
34912.314151018,None,-0.3522044860589126,61.2599983215332,466,315.403,256.78,0.43808630108833313,315.389,256.507
34912.64780702,None,-0.05742821606140536,52.24300003051758,469,315.417,258.098,0.4357832372188568,315.411,257.833
34912.980891369,None,-0.2040392119177177,48.73400115966797,472,315.43,259.411,0.43297868967056274,315.425,259.135
34913.333690172,None,-0.5000089999190014,51.90999984741211,475,315.44,260.716,0.445753276348114,315.44,260.431
34913.687931726,None,-0.2823473038653296,60.25299835205078,478,315.446,261.979,0.4468185603618622,315.434,261.709
34914.032200516,None,-0.09272000862812892,49.80699920654297,481,315.442,263.188,0.4527187645435333,315.441,262.933
34914.364516636,None,-0.05162363799656493,46.97100067138672,484,315.429,264.345,0.4373956322669983,315.43,264.079
